Month,Revenue,Leads,ClosedDeals,Region
Jan,120000,200,150,West
Feb,90000,180,120,East
Mar,150000,210,170,North
Apr,110000,190,140,South
May,130000,220,160,West
Jun,95000,175,115,East
Jul,140000,205,165,North
Aug,115000,195,145,South
Sep,125000,215,155,West
Oct,100000,185,125,East
Nov,135000,225,175,North
Dec,105000,170,130,South
Jan,122000,202,152,West
Feb,92000,182,122,East
Mar,152000,212,172,North
Apr,112000,192,142,South
May,132000,222,162,West
Jun,97000,177,117,East
Jul,142000,207,167,North
Aug,117000,197,147,South
Sep,127000,217,157,West
Oct,102000,187,127,East
Nov,137000,227,177,North
Dec,107000,172,132,South
Jan,124000,204,154,West
Feb,94000,184,124,East
Mar,154000,214,174,North
Apr,114000,194,144,South
May,134000,224,164,West
Jun,99000,179,119,East
Jul,144000,209,169,North
Aug,119000,199,149,South
Sep,129000,219,159,West
Oct,104000,189,129,East
Nov,139000,229,179,North
Dec,109000,174,134,South
Jan,126000,206,156,West
Feb,96000,186,126,East
Mar,156000,216,176,North
Apr,116000,196,146,South
May,136000,226,166,West
Jun,101000,181,121,East
Jul,146000,211,171,North
Aug,121000,201,151,South
Sep,131000,221,161,West
Oct,106000,191,131,East
Nov,141000,231,181,North
Dec,111000,176,136,South
Jan,128000,208,158,West
Feb,98000,188,128,East
Mar,158000,218,178,North
Apr,118000,198,148,South
May,138000,228,168,West
Jun,103000,183,123,East
Jul,148000,213,173,North
Aug,123000,203,153,South
Sep,133000,223,163,West
Oct,108000,193,133,East
Nov,143000,233,183,North
Dec,113000,178,138,South
Jan,130000,210,160,West
Feb,100000,190,130,East
Mar,160000,220,180,North
Apr,120000,200,150,South
May,140000,230,170,West
Jun,105000,185,125,East
Jul,150000,215,175,North
Aug,125000,205,155,South
Sep,135000,225,165,West
Oct,110000,195,135,East
Nov,145000,235,185,North
Dec,115000,180,140,South
Jan,132000,212,162,West
Feb,102000,192,132,East
Mar,162000,222,182,North
Apr,122000,202,152,South
May,142000,232,172,West
Jun,107000,187,127,East
Jul,152000,217,177,North
Aug,127000,207,157,South
Sep,137000,227,167,West
Oct,112000,197,137,East
Nov,147000,237,187,North
Dec,117000,182,142,South
Jan,134000,214,164,West
Feb,104000,194,134,East
Mar,164000,224,184,North
Apr,124000,204,154,South
May,144000,234,174,West
Jun,109000,189,129,East
Jul,154000,219,179,North
Aug,129000,209,159,South
Sep,139000,229,169,West
Oct,114000,199,139,East
Nov,149000,239,189,North
Dec,119000,184,144,South
Jan,136000,216,166,West
Feb,106000,196,136,East
Mar,166000,226,186,North
Apr,126000,206,156,South
May,146000,236,176,West
Jun,111000,191,131,East
Jul,156000,221,181,North
Aug,131000,211,161,South
Sep,141000,231,171,West
Oct,116000,201,141,East
Nov,151000,241,191,North
Dec,121000,186,146,South
